#      x          Cp  
     1.00000    0.42184
     0.99157    0.00885
     0.97711    0.09461
     0.95647    0.05550
     0.93371    0.02901
     0.91066    0.00671
     0.88757   -0.01225
     0.86447   -0.02902
     0.84136   -0.04423
     0.81824   -0.05832
     0.79513   -0.07157
     0.77200   -0.08422
     0.74888   -0.09642
     0.72575   -0.10831
     0.70262   -0.11998
     0.67949   -0.13153
     0.65637   -0.14303
     0.63324   -0.15453
     0.61012   -0.16610
     0.58700   -0.17777
     0.56389   -0.18959
     0.54079   -0.20160
     0.51769   -0.21383
     0.49460   -0.22632
     0.47153   -0.23909
     0.44847   -0.25217
     0.42542   -0.26560
     0.40239   -0.27941
     0.37938   -0.29363
     0.35639   -0.30832
     0.33343   -0.32350
     0.31050   -0.33924
     0.28760   -0.35562
     0.26475   -0.37273
     0.24196   -0.39069
     0.21922   -0.40968
     0.19657   -0.42992
     0.17402   -0.45175
     0.15161   -0.47567
     0.12937   -0.50241
     0.10740   -0.53312
     0.08584   -0.56963
     0.06499   -0.61481
     0.04566   -0.67237
     0.02960   -0.74209
     0.01834   -0.81140
     0.01108   -0.86091
     0.00632   -0.86445
     0.00312   -0.76522
     0.00109   -0.43865
     0.00011    0.20538
     0.00011    0.80132
     0.00109    0.99973
     0.00312    0.87456
     0.00632    0.67259
     0.01108    0.48311
     0.01834    0.32110
     0.02960    0.18877
     0.04566    0.09153
     0.06499    0.02762
     0.08584   -0.01386
     0.10740   -0.04169
     0.12937   -0.06093
     0.15161   -0.07440
     0.17402   -0.08380
     0.19657   -0.09022
     0.21922   -0.09437
     0.24196   -0.09676
     0.26475   -0.09777
     0.28760   -0.09767
     0.31050   -0.09668
     0.33343   -0.09496
     0.35639   -0.09265
     0.37938   -0.08985
     0.40239   -0.08665
     0.42542   -0.08313
     0.44847   -0.07934
     0.47153   -0.07532
     0.49460   -0.07111
     0.51769   -0.06674
     0.54079   -0.06223
     0.56389   -0.05759
     0.58700   -0.05283
     0.61012   -0.04794
     0.63324   -0.04293
     0.65637   -0.03777
     0.67949   -0.03244
     0.70262   -0.02691
     0.72575   -0.02113
     0.74888   -0.01505
     0.77200   -0.00859
     0.79513   -0.00167
     0.81824    0.00587
     0.84136    0.01418
     0.86447    0.02351
     0.88757    0.03423
     0.91066    0.04686
     0.93371    0.06239
     0.95647    0.08150
     0.97711    0.11246
     0.99157    0.02047
     1.00000    0.42184
